id,question1,question2,is_duplicate
2624,"If energy is not conserved in an expanding universe, can infinite energy be created? Is it potential energy or potentiality infinite?",If dark energy is being created with expansion can infinite of it be created?,1
1530,"How long will the Pokémon GO ""fever"" will last?",How long you thing this Pokémon GO trend will last?,1
4485,Is India really progressing under Narendra Modi government?,How has india changed under Narendra Modi?,1
2165,Does financial modelling have any scope in India?,What is the Scope of financial modelling in India?,1
251,How accurately can a mental illness can be diagnosed?,How can I accurately diagnose and medicate my mental illness?,1
506,Will baking soda help pass a urine test?,How does baking soda help you pass a drug test?,1
2598,What happens when you die in a dream?,What happens if you die in a dream?,1
2302,What are the best games for couples to play?,What are some good games for a couple to play?,1
1509,What are some Cyanide and Happiness comics on countries?,What are the best Cyanide & Happiness comics?,1
2148,Do I need to watch Harry Potter before watching Fantastic Beasts and Where to Find Them?,Should I watch the Harry Potter series before watching Fantastic Beast and Where to Find Them?,1
739,Is it too late to go to medical school and become a doctor?,Is it too late to go to medical school at 24?,1
483,Why are police lights red and blue?,Why are police lights red and/or blue?,1
4176,Why Supreme Court directed all cinema halls across the country to play the National Anthem before the start of a film?,What's your stand on the recent Supreme Court's order about national anthem in cinema halls?,1
2873,What is a poll tax?,What was the poll tax? Why was it unpopular?,1
869,What are some of the pros and cons of a Hillary Clinton presidency?,What are pros and cons of Hillary Clinton?,1
2391,How did Donald trump win the elections?,How can Donald Trump win the elections when people hate him so much?,1
959,How do you find out if a girl has a boyfriend?,How do I tell if a girl has a boyfriend?,1
1259,"What is the difference between ""assessment"" and ""evaluation""?",What is the difference between assessment and evaluation?,1
2531,How can I unblock my Facebook account on Chrome?,How can I unblock a Facebook account on Chrome?,1
4956,What are Accenture's recruitment criteria?,What is the recruitment process of Accenture?,1
4595,"Is Earth a prematurely Inhabited Planet, because the universe is too young?",Is Earth a prematurely Inhabited Planet?,1
4069,Is LinkedIn a good acquisition for Microsoft?,How does the LinkedIn acquisition help Microsoft achieve its mission?,1
1690,How did you teach your kid not to lie?,What are good ways to teach children not to lie?,1
3500,Why do I always feel alone?,Why do I feel alone sometimes?,1
872,Which is the best coaching center for SSC and Banking in Chandigarh?,Which are the best SSC and banking coaching centers in Chandigarh?,1
2255,Is it possible to crack the JEE Mains and Advanced 2016 if I start preparing now?,Is it too late to start preparing for the JEE Mains 2016 if I start right now?,1
3261,Is college really worth all the stress?,Is university really worth it?,1
2081,What is your review of the 2016 MacBook Pro?,What is your review of the MacBook Pro (2016)?,1
2521,What kind of programming language should I learn if I want to debug a game-making website like Zondle.com?,What programming language should I learn if I want to create games?,1
4575,What is a black hole? How can we understand it?,What is called a black hole?,1
1326,Why does the Indian education system suck?,What is wrong with Indian engineering education system?,1
1491,What should one read to learn about philosophy?,What books can I read to learn more about philosophy?,1
4927,Do guys like skinny girls or girls who are thick?,Do guys prefer skinny girls?,1
1968,What do you think you were in a past life and why?,Who do you think you were in a past life?,1
1127,How can we improve the education system for high school and college?,How can you improve high school education?,1
2779,How can I speak English more fluently?,How do I speak English like celebrities?,1
2422,I want a real and effective way to make $ 500 per month with the knowledge that I have no money to invest?,The real effective way to make $ 500 per month with the knowledge that I have no money to invest?,1
4076,How do you become a military drone pilot?,How do I become a drone pilot/UAV operator?,1
3737,Why do people drive slow in the fast lane?,Why do people on Bay Area highways drive so slowly in the left lane?,1
577,Do you have any psychic abilities?,Do you have psychic power?,1
3999,How can learn English?,How can I learn English well？?,1
1254,What are the biggest regrets of your life?,What's your biggest regret in life?,1
2005,Why do people go for mba after masters in engineering,Why do people do MBA after engineering?,1
1477,Is it legal for traffic police to stand in the middle of the road to stop vehicles?,Is it legal for a traffic police to stand at the middle of the road to stop vehicles?,1
3759,What should I do to reduce weight?,What should you do if you want to lose a lot of weight?,1
53,What is the best/most memorable thing you've ever eaten and why?,What is the most delicious dish you've ever eaten and why?,1
1850,"How did the Australian term ""sheila"" originate?","What does the Australian term ""sheila"" mean?",1
4325,Can we control our feelings and emotions?,How should I control outbursts of emotions?,1
1287,What are some popular method to do suicide?,Is there some painless way to suicide?,1
2723,How do I clear IBPS PO in one month?,How do I prepare IBPS PO exam in one month?,1
1990,How can I find a job in Mumbai?,How do I find a job in Mumbai?,1
104,Can I recover my email if I forgot the password?,What should I do if I forgot my email password?,1
2452,How much equity should I get as CTO?,How much equity should I get as CTO/co-founder?,1
2072,What is jayalalitha's health issue?,How is chief minister Jayalalitha's health condition?,1
4395,How can we stop racism?,What is the cure for racism?,1
2698,What's the best plan to lose weight?,What are the best things to do when working on losing weight?,1
307,What job possibilities exist for a Bachelors in Homeland Security?,What jobs are available with a bachelor’s degree in Homeland Security?,1
3976,How do you wear a promise ring?,What are promise rings? How do you wear them?,1
2689,"What really happened at MG Road, Bangalore on New Year’s Eve 2017?",What exactly happened on 2017 New Year's Eve in Bengaluru? What could be causes of this?,1
79,What is purpose of life?,What's the purpose of life? What is life actually about?,1
2097,What is the salary of an engineer?,What is the salary for engineer?,1
2101,What are some lesser known facts about ants?,What are some interesting facts about ants?,1
3602,"Candidate status in Accenture Portal is showing ""Status Not Available"" what does it means?",What does Candidate Currently Unavailable status mean in accenture portal?,1
4472,Is there any proof of the existence of aliens? Has anyone seen aliens?,Is there really the existence of Aliens and is there any proof available realted to them?,1
4967,What are the most awesome places worth visiting in Chennai?,What are some unique places to visit in Chennai?,1
2421,How do you deal with emotionally abusive parents?,Psychology of Everyday Life: How do I deal with emotionally abusive parents?,1
3530,How do I last longer in sex?,I am a 20 year old male. How can I last longer during sex?,1
1413,What are the best top 10 movies of Hollywood ever?,What are the best movies of Hollywood?,1
4279,How do I improve my English speaking?,How do I improve my pronunciation in English?,1
2784,"If the universe is expanding, then what does it expand into?","If the universe is expanding, what is it expanding into? And how will this effect us?",1
2409,Why do I never have nightmares?,Why don't I get nightmares?,1
876,Why do companies issue bonus shares?,Why do company issue bonus shares?,1
1417,Did Tywin sleep with Shae out of pure spite?,Why does Tywin sleep with Shae in A Storm of Swords?,1
2895,Can a girl get pregnant after her last day of periods?,How possible is it to get pregnant one day after my 3 day period?,1
2035,Would you want to know how you'll die or when you'll die?,Would you rather know when you will die or how you will die?,1
405,What are movies with incest scenes?,Are there any good incest movie?,1
880,Are there any telescopes powerful enough to view evidence left behind from NASA's moon landings?,"Do we have telescopes powerful enough nowadays to see the man-made objects left on the moon by the Apollo missions, proving 100% that humans did in fact land there?",1
4769,"Which is the best budget laptop under 50,000 INR?",Which laptop should I buy for 50k INR?,1
508,What is the best way to learn algebra by yourself?,How do you learn algebra 1 fast?,1
2039,Is there an option for personal chat on Quora?,Is there no option to chat with a person on Quora?,1
4890,What's the best pickup line you have heard?,What are the best pickup lines you've ever heard?,1
1332,Is a third world war coming?,Is World War 3 more imminent than expected?,1
2709,Which laptop is best under 50K now a days?,What are the best laptops under Rs. 50000?,1
1325,How do I plan a bridal shower party?,How can I plan a bridal shower in another state?,1
2714,How much does it's cost to build an iPhone?,How much would it cost to build your own iPhone?,1
1520,What are some good books for JEE Mains only?,What are the best books to practice for JEE mains only?,1
951,Which are the best part-time jobs to do in Bangalore?,What are the best part time jobs we can do in Bangalore?,1
3600,How do I find angel investors?,Where can I find and pitch angel investors?,1
1761,Can skipping increase your height?,What is the best and fastest way to increase your height?,1
2313,What are arguments in favor of Israeli settlements?,What defense is there of Israeli settlements?,1
1719,What should we do to be best software developer?,What is to be done to be a good software developer?,1
3160,What do you think of Supreme Court's decision of playing National Anthem in all cinemas?,What are your views on the supreme court's decision to make playing national anthem mandatory in cinema halls?,1
2285,How do I make money starting a blog?,How can I start making money by starting a blog?,1
3021,What does an interior designer do?,What does a interior designer do?,1
2727,How do people randomly find me on instagram?,How do people find me on instagram?,1
654,Where can I get super high quality photos for any photo booth services in Sydney?,Where can I get professional photo booths service in Sydney?,1
1418,What is it like being the third or non-primary person in a polyamorous relationship?,What is it like to be third-wheeled in a polyamorous relationship?,1
215,Is the neutron star made up of?,Is the neutron star made up of only neutrons?,1
2615,How old is too old for med school? Or law school?,Is 25 too old for med school?,1
3410,How can I stop myself from watching too much of porn?,How can I stop watching porn?,1
4963,Is Demonitization going to help Indian economy?,How will this recently introduced Demonetisation improve Indian economy?,1
1129,"Do aliens really exist? If so ,do we have an evidence for it?",Do aliens really exists? If yes then where?,1
2404,What are the best iphone gadgets that you should buy?,What are the best iPhone gadgets that really worth buying?,1
2555,What are some ways you can get into Johns Hopkins University?,How do I get the offer from university such as Johns Hopkins?,1
3801,How exactly does banning Rs 500 and Rs 1000 notes curb the problem of black money?,How will the ban on 500 and 1000 rupee note stop black money?,1
394,What are the best self-help books you've ever read?,What are the top self help books I should read?,1
3097,What it takes to be a successful entrepreneur?,Can anyone be an entrepreneur? What does it take?,1
3664,Why are there so many Anti-Semitic questions on Quora?,Why are there so many anti-Israel/Jewish questions on Quora?,1
4598,How can I get meth out of my system ASAP?,Is there any pill you can buy to flush meth out of your system for a drug test?,1
507,What is Zika virus and how is it transmitted?,How is Zika virus spread?,1
2078,Why do some people sweat excessively in their armpits?,Why some people sweat excessively in their armpit but it has no odorous stinky smell?,1
2261,How do I make India as corruption free?,What steps must Indians take to make India corruption free?,1
2940,Is it good to work in PMC as fresher civil engineer?,Is it good to work in PMC as a civil engineer?,1
2538,How do I stop my addiction to porn and masturbation?,How do I stop addiction to porn?,1
1242,Who is the best teacher in life?,Who are the best teachers of life?,1
1073,What is the average salary of a physician in india?,What is the salary of a doctor in India?,1
1054,How could Quora attract initial users?,When did Quora start and how did it attract users?,1
3067,Why is diversity good?,Why is diversity a good thing?,1
4040,What is the best black Friday deal for this year?,What are the Black Friday deals for 2016?,1
159,Why nobody answer my questions in Quora?,Why is no one answering my questions in Quora?,1
4465,How do I get supply and logistics collaboration free proposal sample?,How do I get supply and logistics collaboration free sample proposal?,1
3110,What is the use of nested loops?,How do nested loops work?,1
1988,What will be the effect of recent demonetization of rs500 and rs 1000 notes on the real estate or property business?,How does the declaration that Rs 500 and Rs 1000 notes would not be accepted as valid transactions affect real estate in India?,1
4057,Can Vitamin C pills cause a miscarriage?,Does vitamin C cause miscarriages?,1
1649,Are Secret Service agents that protect politicians chosen for duty by their political affiliation?,Can a Secret Service agent's political views interfere with their duty?,1
1924,How will the ban on Rs 500 and 1000 notes impact the Indian economy?,How does the ban on 500/1000 denominations affect various domains of the Indian economy?,1
4515,Which is better between the Game of Thrones vs The Walking Dead?,Which is better The Walking Dead or Game of Thrones? What do you guys think?,1
194,How do you take a screenshot on a Mac laptop?,How do I take a screenshot on my MacBook Pro? What are some instructions?,1
3966,How did you make money fast?,How can earn money quickly?,1
2896,Which is the best antivirus app for android mobiles?,What is the best Antivirus software to be installed for my Android phone?,1
4179,Adam D'Angelo: Which tank is the best in World of Tanks?,What is the best tank in WoT?,1
1150,How do you compare and contrast the properties of acids and bases?,How can you compare and contrast base and acid?,1
2952,Will Rs. 2000 currency note really come with A GPS chip? Or it is just a rumor?,Will the new Rs 2000 notes carry a nano GPS chip? Will it really Help?,1
4926,How do I know whether a person is lying?,How do you know if a person is lying?,1
3531,How much are protein shakes helpful for weight loss?,How do protein shakes help me lose weight?,1
2103,How do I become a career counselor?,What one has to do for becoming career counselor?,1
2841,Which is the best institute to learn digital marketing (job oriented) in India?,I am MBA (Marketing) Student. I want to pursue Digital marketing Course. So where Can I find best course of Digital Marketing? Is there any Institute in Mumbai who are providing the Digital marketing Course?,1
1959,What is the national language of India?,What is India's national language?,1
4592,What are the best books that one should must read?,What are some good books that one must read?,1
135,Who are the Rohingya Muslims?,Who are the Rohingya people?,1
641,Why do people hate twilight saga?,Why do people hate Twilight so much?,1
4116,What do Pakistanis have to say about the Uri terrorist attack on 18th September 2016?,What do Pakistani people think about the Uri attack on 18th September 2016?,1
4103,What is the best way to learn about stock markets?,What is the best way to learn about stock market?,1
1165,What can I do to improve my English speaking?,How can I improve my spoken English?,1
3404,How can I improve my communication skill and English proficiency?,How can improve my English speaking?,1
3081,What are some mind-blowing technology tools that most people don't know about?,What are some mind blowing technology gadgets that most people don't know?,1
2824,What causes white spots in your field of vision?,What causes black and white flashing dots in the vision? How do you treat it?,1
158,What does the Quora website look like to members of Quora moderation?,How does Quora look to a moderator?,1
1313,What are my options for earning money online?,What are some best ways to earn money online?,1
1315,What are the things to consider when buying a new laptop?,What are the things to be considered while buying a new laptop?,1
3509,How do I recover my lost Gmail password if I don't have the same number and don't remember the recovery email?,How do I reset my gmail password when they are not highlighting my recovery email option?,1
4937,How do I get rid of scalp acne?,How do I get rid of face pimples?,1
1024,"What do you think about the movie, ""Interstellar""?",What do you think about the movie Interstellar?,1
4559,How do I improve my pronunciation of English?,How could I be fluent in English?,1
1490,How can I make a healthy home made pizza?,How can I make healthy pizza? Is there any recipe for it?,1
2453,How does one ejaculate without achieving orgasm?,Can one ejaculate without orgasm?,1
3149,Which grand theft auto is your favourite?,What is the best Grand Theft Auto?,1
3800,Do I need to get a SSN card If I know my Social Security Number?,Do I need to get an SSN card if I know my Social Security number?,1
1977,What are the emerging trends in structured programming?,What are the emerging trends in structural programming?,1
2018,Should I give CBSE class 12 improvement exam?,"Is giving CBSE improvement exam better option than reappearing for cbse class 12 from school? For placement in CSE and higher studies, MBA etc?",1
4880,Why is the prime minister more powerful in India whereas the president is more powerful in the US?,Compare the powers of President and Prime Minister of India?,1
4639,What are some of the best coaching institutes for GMAT in Delhi/NCR?,What are best and reliable institutes for gmat in Delhi-NCR?,1
2672,Does Lipton green tea Assist in weight loss?,How Green tea is useful for reducing fat?,1
3526,What does agape mean?,What is agape (love)?,1
713,Is Textile Engineering Good?,Is textile engineering good or not?,1
2381,What are the best programming languages to learn today?,How many languages need for computer programming and which is the best?,1
1696,"Is a circle a regular polygon of infinite sides? If yes, then discuss its properties and its interior angles.",Can one say that a circle has infinite sides?,1
4100,Can height increase after 25?,Can someone increase their height naturally after 19?,1
1624,How do I start a plant nursery?,How do I get start plant nursery?,1
889,Have you ever been fired?,Have you ever been fired? How did you deal with it?,1
2857,Which is the best phone to buy under Rs.1500?,Which phone is best below 1500?,1
4723,"What does the phrase ""sometimes there'a a line in between"" mean?","What does the phrase ""sometimes there's a line in between"" mean?",1
4363,Why is Hillary Clinton a better choice than Donald Trump?,Who is the better candidate for being the President of the United States of America: Hillary Clinton or Donald Trump?,1
403,How can I get entry in MIT?,What are the requirements for selection into MIT?,1
2451,What causes people to judge a person by the way they look?,Why do we often judge people by their appearance?,1
2994,How can I get messages that have been deleted from my dm on Instagram back?,How do I get Instagram messages back when deleted?,1
2457,How can I improve my c programming skills?,How can I improve my C programming?,1
1600,"What, if anything, is too serious to be joked about?","What, if anything, is too serious to be joked about in life?",1
451,What is it like being a firefighter?,What's it like to be a firefighter?,1
3040,What is it that we as Indians are collectively doing wrong?,What is it that we indians are doing collectively wrong?,1
3920,What are ways to lose belly fat?,What is the best exercise for belly fat?,1
4986,How do make personal assistant like jarvis?,How do I make personal assistant like jarvis?,1
4737,Is Donald Trump fit to be the President of the United States? Why or why not?,Why will Donald Trump be a good president?,1
210,If Hillary Clinton could not continue her Presidential campaign how would the Democratic Party choose a new candidate?,If Hillary Clinton can no longer serve as the Democratic nominee how would her successor be chosen?,1
1896,What is the best way to prepare for the theoretical part of the CA Final Exam?,What is the best way to prepare for CA final group1 papers?,1
2660,Why does Quora limit my question details to 300 characters?,Why is there a sign limit on Quora for questions?,1
2231,How do kilns work?,How does a kiln work?,1
1862,What are the pros and cons of tennis balls on your walker?,What are the pros and cons of attaching tennis balls on walkers?,1
4928,How can I promote my business in Twitter?,How do I promote business on Twitter?,1
1452,"How do you view the Indian government's decision to fight ""black money"" by scrapping 500 rupee and 1000 rupee notes?",What are going to be the rammifications of the Indian government's decision affecting invalid ₹500/₹1000 currency notes?,1
1414,What should you do if a cat scratches your eye?,What should I do if I have a cat scratch under my eye?,1
1311,I m bio student how I got admission in vits Vellore in biotechnology and I don't have math in 12?,Kindly tell me whole process of admission at vits Vellore for biotech.i m a bio student in 12..I don't have math there?,1
422,How did you first come across porn?,How were you first introduced to porn?,1
1110,What are disaccharides? What are examples of disaccharides?,What are some examples of disaccharides?,1
2527,Do parents really love all their kids equally?,Do parents really mean it when they say they love all their children equally?,1
2782,What is the easiest way to enrich vocabulary?,What is the easiest way to improve my vocabulary?,1
2208,Who is next CM of Gujarat?,Who will be next CM of Gujarat?,1
144,"Is Morgan Freeman correct when he says the only way to stop racism, is to stop talking about it?",What are your views about this Morgan Freeman quote about Racism?,1
2918,What makes a question interesting?,What makes a question interesting to answer?,1
2260,"How do I become the Top Writer on Quora, get more upvotes and better stats?",How do you become a Top Writer on Quora for 2014?,1
3982,What are logical fallacies?,What are five logical fallacies?,1
1228,What are some common examples of solid matter?,What are the most common examples of solid matter?,1
787,How can I meet Suresh Raina?,How do i meet suresh raina?,1
3029,How do I become a football/soccer manager/coach? What are some steps I can take to start?,What pathway should I take to become a football (soccer) manager?,1
4073,In what sectors is it best to live in Gurgaon?,In what sectors is it best to live in Gurgaon (Gurugram)?,1
1007,What are the chances of ww3?,Is there any possibility of a WW3?,1
2106,Are near death experiences real?,Are Near Death Experiences Proved?,1
583,Do Trump voters care that he has reneged all his campaign promises?,How will Trump supporters react once they realize he can't or won't keep his campaign promises?,1
2327,What can one do to control his/her anger?,What's the best method to control anger?,1
1983,How did Donald trump win?,How did Donald Trump win despite projections that he would fail?,1
2397,Which is the best Test Series SSC CGL Tier 2 exam?,Where can I find mock test papers for SSC CGL tier 2?,1
415,How can I see the Comedy Nights with Kapil live show?,What is the way to watch Comedy Nights with Kapil live on the sets?,1
48,What are some examples of products that can be make from crude oil?,What are some of the products made from crude oil?,1
3331,How can I be a designer?,What is the best way to be a designer?,1
1722,How can I find a startup mentor?,How do I ask someone to be my mentor?,1
2854,What are the 10 best episodes of Friends?,What was the best episode of Friends?,1
3181,Who is the better candidate for being the President of the United States of America: Hillary Clinton or Donald Trump?,In what aspects is Hillary Clinton better than Trump?,1
3528,Why was Jayalalitha buried but not cremated as per Hindu tradition?,Why was Jayalalitha buried and not cremated?,1
817,Is the soul immortal?,Why is the soul immortal?,1
4951,Why do girls moan during sex?,Do most people make noise during sex?,1
3477,Why do people resort to bullying?,Why do people bully others?,1
2641,How do I know if I am Republican or a Democrat?,How do I know if I am a Democrat or Republican?,1
203,Why do people hate Hillary Clinton?,What are the reasons that people dislike Hillary Clinton?,1
863,What are some tips for someone trying to teach themselves to sing?,How can I teach myself how to sing?,1
4466,Does women like oral pleasure?,Do all women like oral sex?,1
2338,What's the worst experience you've had while in a restaurant?,What is the worst restaurant experience you ever had?,1
2770,What can India do in Syria?,What can India do to support the people suffering from civilian war in Syria?,1
3055,What is open market operation?,What do you mean by open market operation?,1
3604,Are race relations better or worse under President Obama?,Have race relations improved or gotten worse during the past 8 years?,1
3784,Which are some of the best romantic movies?,Which is the best romantic movie?,1
680,Why are so many questions posted to Quora that are so easily answered by using Google?,Why do many Quora users ask questions they could look up online?,1
1704,What should you do if you can't remember your iCloud password?,How do I recover my iCloud password?,1
4925,How do you motivate yourself to study?,How can I motivate myself to get into study?,1
4390,If we have evolved from apes then why there are apes around us?,If humans evolved from monkeys then why are monkeys still around?,1
323,Why are dogs considered omnivores?,Are dogs carnivorous animals?,1
484,How do I post a question that was marked as needing improvement?,"Why was my question marked as ""needs improvement?""",1
3629,Can anyone apply to Google?,How do I have to apply to work at Google?,1
4552,What app for music without wifi for iPod?,What music app is free without wifi connection?,1
95,How does 3D printing work?,How do 3D printing work?,1
3830,What are the worst companies that you have ever worked?,What is the worst company you have ever worked for?,1
1991,How is daily life in North Korea?,How is life in North Korea? What are the typical lifestyles of different sections of people in North Korea?,1
3475,How do I get my ex back?,How do I get my ex boyfriend back?,1
1374,"What is the most interesting fact that I know, but you don't, but I shouldn't?",What is the most interesting fact that most people don't know about?,1
3637,How do I become an ambassador?,How would one become an ambassador?,1
3282,What was (or is) the stupidest question asked on Quora?,"What is the stupidest question ever asked on Quora, other than this one?",1
1274,How do we allocate memory for a structure and array in C?,Are dynamic allocations of array allowed in C?,1
1846,What is the best way to restore a Dell Inspiron 530 to factory settings?,How do you restore a Dell Inspiron 1525 to the factory settings?,1
4275,What do you think about the privatization of Air India?,Why shouldn't we privatise air india?,1
4898,Why is Saltwater Taffy candy imported in Greece?,Why is Saltwater Taffy candy imported in Italy?,1
3450,Where can I get professional painting experience in North Sydney?,Where can I get very professional painting service in North Sydney?,1
1947,I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,"With a forgotten Gmail password, how do you find an old Gmail password when you don't remember the recovery information?",1
4150,How can stop suicide thoughts?,How can I stop feeling suicidal?,1
4653,Where can I get best fire protection services in Sydney?,Where can I get emergency fire protection service in Sydney?,1
1694,How do I delete my questions off Quora?,How do I delete a question from Quora?,1
3953,What the best way(s) to fight boredom?,What are the best ways to overcome boredom?,1
229,How can we make the world a better place to live in for the future generations?,What can I do to make the world a better place?,1
3646,What is the difference between faith and belief?,What is difference between faith and belief?,1
2225,How can I gain weight as an 18 year old girl?,How do I gain weight as a teenager?,1
2061,How can you increase your tolerance for pain?,How do you increase your pain tolerance?,1
3237,"In Google Analytics, can I view traffic for a specific page?","In Google Analytics, how do I view traffic for a specific page?",1
2802,Do you believe that people can change?,Do you/would you like to believe that people can change?,1
1388,What's the best why to start up a cafe?,What are requirements I would need to start my own cafe?,1
288,How do you deal with a fear of dying?,How can you reduce your fear of dying?,1
1445,Which is the best laptop under 20k today? Fast & smooth.,What is the best laptop I could buy under 20k?,1
1582,What is the difference between angel investors and VCs?,What's the difference between a VC and an Angel Investor?,1
1757,What gives you hope during tough times?,What gives you hope for humanity?,1
445,Israel vs Iran: who would win?,"If Israel and Iran went to war, who would win?",1
968,How does a long distance relationship work?,Do long distance relationships work?,1
92,What are some of the best romantic movies in English?,What is the best romantic movie you have ever seen?,1
3569,What are best job portals in india?,What are the best job portals for freshers in India?,1
4554,What are the most embarrassing moments in life?,Which one is the most embarrassing moment of your lift?,1
3923,Leonardo da Vinci: Is Mona Lisa overrated?,Is the Mona Lisa painting by Leonardo Da Vinci overhyped?,1
3545,What is the best beginner friendly book on python?,What is the best beginner's book on Python?,1
2589,"How attractive would you rate your physical traits, on a scale of 1 to 10?",How much will you rate your physical appearance in the scale of 1 to 10?,1
586,How do I stop being addicted to porn?,How can I stop watching porn?,1
4161,What is the scope of automobile engineering in India?,What is the scope or value for an automobile engineer in India?,1
2826,Which is the best one liner you've ever heard?,Which is the best one liner you ever heard?,1
969,HOw do I speak Fluent English?,How can I understand english?,1
2602,Is there any formula for finding nth prime number?,What are good ways to find nth prime number in the fastest way?,1
2524,What is the one shot stop percentage with a Desert eagle 50AE?,Is 3 % the survival chance of a direct hit to the head from a Desert Eagle 50AE?,1
3601,How do I influence my crush?,How do I begin to talk to my crush?,1
3238,Who is/was the most underrated actor/actress in Bollywood?,Who are the most underrated actors and actresses in Bollywood?,1
4756,Which is most erotic book to read?,What are some erotic books?,1
3702,What is the best programming language I should start learning?,What are good programming language to start with before I advance?,1
4214,What is the scope of networking and hardware and degree must?,What is the scope for hardware and networking?,1
4319,Why are there still people who believe the world is flat?,Why do people still believe in flat earth?,1
520,Is it healthy to eat egg whites every day?,Is it healthy to eat one chicken every day?,1
2781,How do I get rid of my acne and get nice skin?,How can I get rid from my acnes?,1
457,What are the life lessons that Batman teaches us?,What are the life lessons you can learn from the dark knight?,1
3390,What are your views on India banning 500 and 1000 notes? In what way it will affect Indian economy?,What are the economic implications of banning 500 and 1000 rupee notes?,1
803,How do I get my ex back?,How do I ask my ex to get back together?,1
837,How can I wake up early in the morning?,How can I get up early in the morning?,1
590,What is the meaning of life? Whats our purpose on Earth?,What do you feel is the purpose of life?,1
3970,What is potential differential and why is it important?,Why is potential differential important?,1
4874,What are Hillary's qualifications to be president?,What are Hillary Clinton’s qualifications to be President?,1
1901,Quora: How to ask question on Quora so that it wont get marked as needing improvement?,I can't seem to ask anything anymore. Why does Quora keep marking all my questions as needing improvement?,1
4503,How do YouTube pay YouTubers?,Does youtube pay to YouTube channels?,1
2233,What is the current political scenario of India?,What is the current political scenario in India?,1
2664,What is the Syllabus of UPSC exams?,What is the syllabus for UPSC Exam?,1
1687,"Who is your role model, and why?",Who is your role model and why?,1
1157,How do you edit your Quora profile?,How do I edit my profile?,1
339,What would be the best way to quit smoking?,How did you quit/stop smoking?,1
1670,How does one fall in love?,How is it to fall in love.?,1
3239,"What is the Sahara, and how do the average temperatures there compare to the ones in the Antarctica?","What is the Sahara, and how do the average temperatures there compare to the ones in the Great Basin Desert?",1
2577,Why do people think that they are better than everyone and everything else?,Why is it that people think that they are better than everyone else?,1
3891,How do I lose 38 pounds in a year?,How do I lose 45 pounds the easiest way if I have cravings?,1
850,Why do digital cameras have shutter sound?,What digital cameras have electronic shutter that can be set to make absolutely no sound or noise?,1
2046,Can people actively control their emotions?,How do I gain emotional intelligence and control my emotions?,1
4166,What are the best way to learn hacking?,What is the best way to learn hacking in short time?,1
295,What will be the effect of banning 500 and 1000 notes on stock markets in India?,What will be the effect of the ban of the 1000rs and 500rs notes on the stock market?,1
2973,Cardiology: Is it true that you can die from a broken heart?,Can you die from a broken heart?,1
1870,What is humanity? What is human rights?,What do we mean by human rights?,1
2492,What should be India's move against Pakistan after Nagrota attack?,What steps should be taken immediately by our country against Pakistan for 29 th November attack?,1
2427,What are tips and hacks at finding cheap flights?,What are some hacks on booking cheap flight tickets?,1
2195,What do you think about banning 500 and 1000 rupee notes in India?,Was the decision by the Indian Government to demonetize 500 and 1000 notes right or is it a big scam?,1
3938,What is a way to make money online?,What are the easiest ways to earn money online?,1
4039,How does playstation Vita remote play work?,How does remote play for PlayStation Vita work?,1
4806,Are Greek gods real?,Do Greek gods exist? Why or why not?,1
1981,Which Instagram hashtag is best to attract more followers?,What are the best hashtags for Instagram likes?,1
2057,How is culture important in life?,What is the importance of culture in our life?,1
4868,How do I make a unmanned aerial vehicle?,How we can make drones?,1
1328,Why do the Union territories of Puducherry and Delhi have their own assembly?,Why do only the union territories of Delhi and Puducherry have chief ministers and not others?,1
2287,What are the east way to hack whatsapp?,Can someone hack my smart phone using WhatsApp?,1
3167,What's the worst thing someone has done to you?,What is the worst thing that someone has done to you and how do you feel about it now?,1
3661,Is it possible to get pregnant if a couple is trying just 4 days before her menstrual cycle?,Can you get pregnant 8 days before your period?,1
4020,What is part time work from home?,What are some of the best paid part time jobs that can be done from home?,1
281,How long does it take for a dead body to float to the surface after drowning ?,"When a dead body is in a river, how long does it take before it floats?",1
1303,Which book to use for preparing chemistry for neet?,Which chemistry objective book is good for NEET 2017?,1
2030,Is our PM Modi doing the correct thing with 500 and 1000 Rs notes?,Why Narendra Modi banned 500 and 1000 notes in India?,1
1868,Why are the Texas Rangers important to law enforcement today?,What are the responsibilities of Texas Rangers and how do they interact with other law enforcement agencies?,1
4571,How can one grow a thick beard at a faster rate?,How can I grow a beard faster?,1
284,How can I make money online with free of cost?,How do I to make money online?,1
4459,Is it a good idea to buy a used car from a rental car company?,What are the pros and cons of buying a used car from a rental agency directly? (example: buying an Accord from Hertz Used Car Sales),1
4089,What are greatest thriller movies?,Which are the best suspense and thriller movies?,1
348,What's the best near-death experience you've ever had?,Has anyone ever had a near-death experience?,1
243,What are the signs of an ultra smart person playing dumb?,What are signs of ultra smart people hiding their intelligence?,1
1825,Should I use Swift or Objective-C to learn iOS development?,Which is better to learn for iOS: Swift or Objective-C?,1
3821,Is it important to have love in life?,What is the importance of love in my life?,1
3009,Secrets of Indian army?,What is the secrets of indian army?,1
800,What are the safety precautions on handling shotguns proposed by the NRA in Alaska?,What are the safety precautions on handling shotguns proposed by the NRA in Arizona?,1
